mp,sim,full_name,member
18053,0.6774980347,Рибалка Сергій,Фракція Радикальної партії Олега Ляшка
6073,0.6760326731,Крулько Іван,"Фракція політичної партії "Всеукраїнське об'єднання "Батьківщина" у Верховній Раді України"
18077,0.6751289622,Гудзенко Віталій,"Фракція ПАРТІЇ "БЛОК ПЕТРА ПОРОШЕНКА"
2262,0.6738282742,Матвієнко Анатолій,"Фракція ПАРТІЇ "БЛОК ПЕТРА ПОРОШЕНКА"
17991,0.673412504,Загорій Гліб,"Фракція ПАРТІЇ "БЛОК ПЕТРА ПОРОШЕНКА"
17978,0.6706755441,Найєм Мустафа-Масі,"Фракція ПАРТІЇ "БЛОК ПЕТРА ПОРОШЕНКА"
18012,0.669375916,Соболєв Єгор,"Фракція Політичної партії "Об'єднання "САМОПОМІЧ"
19126,0.6656719888,Зубач Любомир,"Фракція Політичної партії "Об'єднання "САМОПОМІЧ"
7175,0.6636320539,Козаченко Леонід,"Фракція ПАРТІЇ "БЛОК ПЕТРА ПОРОШЕНКА"
18056,0.662760789,Рябчин Олексій,"Фракція політичної партії "Всеукраїнське об'єднання "Батьківщина" у Верховній Раді України"
17958,0.6607727328,Логвинський Георгій,"Фракція Політичної партії "НАРОДНИЙ ФРОНТ"
8815,0.6589111731,Лопушанський Андрій,"Фракція ПАРТІЇ "БЛОК ПЕТРА ПОРОШЕНКА"
18051,0.6554372616,Скуратовський Сергій,Фракція Радикальної партії Олега Ляшка
18031,0.6528914635,Кіраль Сергій,"Фракція Політичної партії "Об'єднання "САМОПОМІЧ"
18055,0.6519729305,Івченко Вадим,"Фракція політичної партії "Всеукраїнське об'єднання "Батьківщина" у Верховній Раді України"
18218,0.648561063,Чижмарь Юрій,Фракція Радикальної партії Олега Ляшка
18021,0.6482589399,Войціцька Вікторія,"Фракція Політичної партії "Об'єднання "САМОПОМІЧ"
19622,0.646219982,Підберезняк Вадим,Позафракційні
18090,0.6458259126,Єфімов Максим,"Фракція ПАРТІЇ "БЛОК ПЕТРА ПОРОШЕНКА"
15769,0.6396313189,Сольвар Руслан,"Фракція ПАРТІЇ "БЛОК ПЕТРА ПОРОШЕНКА"
15768,0.6368445525,Дерев'янко Юрій,Позафракційні
18024,0.6361000477,Сисоєнко Ірина,"Фракція Політичної партії "Об'єднання "САМОПОМІЧ"
15836,0.6347299235,Чумак Віктор,Позафракційні
862,0.6340100158,Пинзеник Віктор,"Фракція ПАРТІЇ "БЛОК ПЕТРА ПОРОШЕНКА"
17568,0.6337894619,Березенко Сергій,Позафракційні
17379,0.6334164351,Сторожук Дмитро,"Фракція Політичної партії "НАРОДНИЙ ФРОНТ"
